timestamp,cpu_load,events_per_sec,avg_latency,score
2026-04-26 20:05:05,70%,972.10,1.03,943.79
2026-04-26 20:05:05,80%,893.43,1.12,797.71
2026-04-26 20:05:05,90%,838.66,1.19,704.76
2026-04-26 20:36:43,30%,978.60,1.02,959.41
2026-04-26 20:36:43,40%,1003.42,1.00,1003.42
2026-04-26 20:36:43,50%,972.29,1.03,943.97
2026-04-26 20:36:43,60%,933.18,1.07,872.13
2026-04-26 20:36:43,70%,958.18,1.04,921.33
2026-04-26 20:36:43,80%,926.47,1.08,857.84
2026-04-26 20:36:43,90%,829.91,1.20,691.59
2026-04-26 21:08:22,30%,1027.18,0.97,1058.95
2026-04-26 21:08:22,40%,1004.94,0.99,1015.09
2026-04-26 21:08:22,50%,950.87,1.05,905.59
2026-04-26 21:08:22,60%,937.28,1.07,875.96
2026-04-26 21:08:22,70%,989.78,1.01,979.98
2026-04-26 21:08:22,80%,906.48,1.10,824.07
2026-04-26 21:08:22,90%,900.27,1.11,811.05
2026-04-26 21:40:00,30%,992.80,1.01,982.97
2026-04-26 21:40:00,40%,971.48,1.03,943.18
2026-04-26 21:40:00,50%,989.00,1.01,979.21
2026-04-26 21:40:00,60%,883.00,1.13,781.42
2026-04-26 21:40:00,70%,943.65,1.06,890.24
2026-04-26 21:40:00,80%,907.48,1.10,824.98
2026-04-26 21:40:00,90%,860.21,1.16,741.56
2026-04-26 22:11:38,30%,1051.44,0.95,1106.78
2026-04-26 22:11:38,40%,1056.98,0.95,1112.61
2026-04-26 22:11:38,50%,947.01,1.05,901.91
2026-04-26 22:11:38,60%,912.88,1.09,837.50
2026-04-26 22:11:38,70%,950.38,1.05,905.12
2026-04-26 22:11:38,80%,878.13,1.14,770.29
2026-04-26 22:11:38,90%,838.08,1.19,704.27
2026-04-26 22:43:17,30%,1024.84,0.97,1056.54
2026-04-26 22:43:17,40%,978.81,1.02,959.62
2026-04-26 22:43:17,50%,948.76,1.05,903.58
